@00003000: $16 <= 0000000a
@00003004: $23 <= 0000000a
@0000300c: $17 <= 00000000
@00003014: $18 <= 00000000
@00003018: $19 <= 0000000a
@0000301c: $18 <= 0000000a
@00003020: *00000000 <= 0000000a
@00003028: $31 <= 0000302c
@0000300c: $17 <= 0000000a
@00003014: $18 <= 0000000a
@00003018: $19 <= 00000014
@0000301c: $18 <= 0000001e
@00003020: *00000000 <= 0000001e
@00003028: $31 <= 0000302c
@0000300c: $17 <= 0000001e
@00003014: $18 <= 0000001e
@00003018: $19 <= 00000028
@0000301c: $18 <= 00000046
@00003020: *00000000 <= 00000046
@00003028: $31 <= 0000302c
@0000300c: $17 <= 00000046
@00003014: $18 <= 00000046
@00003018: $19 <= 00000050
@0000301c: $18 <= 00000096
@00003020: *00000000 <= 00000096
@00003028: $31 <= 0000302c
@0000300c: $17 <= 00000096
@00003014: $18 <= 00000096
@00003018: $19 <= 000000a0
@0000301c: $18 <= 00000136
@00003020: *00000000 <= 00000136
@00003028: $31 <= 0000302c
@0000300c: $17 <= 00000136
@00003014: $18 <= 00000136
@00003018: $19 <= 00000140
@0000301c: $18 <= 00000276
@00003020: *00000000 <= 00000276
@00003028: $31 <= 0000302c
@0000300c: $17 <= 00000276
@00003014: $18 <= 00000276
@00003018: $19 <= 00000280
@0000301c: $18 <= 000004f6
@00003020: *00000000 <= 000004f6
@00003028: $31 <= 0000302c
@0000300c: $17 <= 000004f6
@00003014: $18 <= 000004f6
@00003018: $19 <= 00000500
@0000301c: $18 <= 000009f6
@00003020: *00000000 <= 000009f6
@00003028: $31 <= 0000302c
@0000300c: $17 <= 000009f6
@00003014: $18 <= 000009f6
@00003018: $19 <= 00000a00
@0000301c: $18 <= 000013f6
@00003020: *00000000 <= 000013f6
@00003028: $31 <= 0000302c
@0000300c: $17 <= 000013f6
@00003014: $18 <= 000013f6
@00003018: $19 <= 00001400
@0000301c: $18 <= 000027f6
@00003020: *00000000 <= 000027f6
@00003028: $31 <= 0000302c
@0000300c: $17 <= 000027f6
@00003014: $18 <= 000027f6
@00003018: $19 <= 00002800
@0000301c: $18 <= 00004ff6
@00003020: *00000000 <= 00004ff6
